kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Hazır Gıda,Gurumen Şakşuka 200 Gr,200 G,"106,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1435317.jpg
Mantı Makarna ve Erişte,Arbella Kuskus 500 Gr,500 G,"19,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_270685.jpg
Mantı Makarna ve Erişte,Nuh'un Ankara Vitaminli Mantı 500 Gr,500 G,"20,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1270119.jpg
Mantı Makarna ve Erişte,Noodle Yakisoba Chili Sos 84 Gr Nissin,84 G,"22,50",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/olS94mizbQ_500x500.png
Mantı Makarna ve Erişte,Noodle Yakisoba Japon Sos 83 Gr Nissin,83 G,"22,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1274934.jpg
Mantı Makarna ve Erişte,Noodle Gurme Soya Soslu 80 Gr İndo Mie,80 G,"22,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1418726.jpg
Mantı Makarna ve Erişte,Sevgisun Erişte 500 Gr,500 G,"45,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1270559.jpg
Mantı Makarna ve Erişte,Makarna Caserecce 500 Gr Makaroma+2 Market,500 G,"25,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1442039.jpg
Mantı Makarna ve Erişte,Mac & Cheese 206 Gr Banetti,206 G,"37,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_332555.jpg
Mantı Makarna ve Erişte,Filiz Arpa Şehriye 500 Gr+2 Market,500 G,"20,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1349581.jpg
Mantı Makarna ve Erişte,Makarna Kelebek 500 Gr Pasta Veneta,500 G,"21,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1709791.jpg
